N,n,MI
13,17,0.8269569342123892
10,17,1.36417361845344
5,12,3.056416922566956
40,18,0.48845997540772235
31,4,0.18885845440700488
34,11,0.2230532068236859
10,11,1.419709672996042
29,2,0.02938401005378989
14,7,0.727081352724646
35,3,0.01759032129159202
49,2,0.005304344581432014
27,15,0.1937799940463618
32,7,0.203090641094346
15,6,0.6829737958464639
45,17,0.45800897424468356
18,16,1.1128854161374453
41,19,0.6113451604913465
32,14,0.7282065820879735
12,16,0.7891173329021139
37,1,0.01646200432986706
8,2,0.4428389910852144
8,2,0.12385308274568649
7,2,0.22655607188739943
12,3,0.2748334616245143
39,15,0.4517590471234202
27,8,0.24066324985625795
34,9,0.18158605215382195
22,18,1.1791785239589756
10,1,0.19473433283507247
5,8,1.7153467218825744
49,3,0.09453230572366822
24,17,0.5312185718008599
13,19,1.8851014093341143
28,16,0.4236072732716529
8,7,1.0687204817305058
35,10,0.13855888477085812
30,14,0.7124754373152538
3,17,8.184141635733233
5,13,3.757699063935623
17,18,1.6051364012620084
15,13,0.49826979180047276
36,19,0.5717019796078018
11,2,0.11090839864635581
5,18,5.112415887469288
3,5,1.7389725685977448
28,5,0.19017767753093778
5,1,0.17374794987047
29,11,0.21492906642459175
17,8,0.5481690961571584
28,1,0.041510900122515126
12,3,0.31497414853144534
45,17,0.41287770071073604
15,2,0.07865682489836054
36,12,0.25663006946200007
9,6,0.6105446669295409
38,13,0.3579121447011651
31,9,0.47418036650103
4,15,5.510423926244304
29,19,1.1417708926332661
13,7,0.3039424082493112
22,18,0.7937395611533788
9,18,2.279918557278925
50,1,0.014349117270006925
21,12,0.8817374604967345
11,2,0.28287813478642887
11,15,1.5958273935678844
31,8,0.46468996154641934
32,1,0.004190934694185708
48,19,1.1995987103436638
48,19,0.5322781050336748
25,5,0.1251888647789221
30,1,0.012880335228323709
16,18,1.1721596892006452
19,5,0.5184712887749563
5,6,3.093931464915625
10,2,0.1656024246255341
4,13,5.110172948769842
36,6,0.1464123504947153
35,1,0.042337881850814135
33,18,0.45561840685313193
11,18,2.0626839660607934
22,8,0.2416925321415107
4,8,4.27887172277237
32,8,0.32342239915581145
38,12,0.4223364949138877
17,15,1.240259761975416
28,8,0.2647560991458712
8,7,0.8465247452534346
40,3,0.012121638676772899
4,6,3.425815570806711
13,9,1.3705127298260278
9,5,0.5942717820836254
20,16,0.5860517103222982
41,6,0.28170790969964976
14,16,0.9267171694657095
39,13,0.29238734945303735
40,10,0.4488237677606124
4,15,6.985761871117494
29,7,0.24666956757178263
40,7,0.048836527629862174
31,19,0.7550135476259384
38,19,0.36449373308272026
23,9,0.15821849044650055
34,13,0.7498234504894743
41,9,0.1576165857060156
16,6,0.3795554744617693
32,12,0.27238627135967886
5,18,5.336415164996759
44,13,0.23119532269814042
39,13,0.23610089814026394
49,11,0.2947908545221356
49,4,0.16304653926198198
12,2,0.1262498675697121
42,19,0.45020309406686637
